pgpid,description
19176,Two or three different legal documents bound together. The one on recto involves Sitt al-Kull bt. Ḥalfon.
19177,"Fragments of two legal documents. Recto appears to be a release involving a woman and her husband Abu l-Fadail, and an Abu Ya'qub is also named. Verso describes a situation involving a couple and their ketubba. ASE."
19179,"Legal notes in the hand of Ḥalfon b. Menashshe. Probably concerning the ketubba payment and division of property following a divorce. ""As for what she (or: you?) mentioned that the ketubba is missing a silver armlet weighing 12 dirhams..."" There is also discussion of 3 caps (maʿāriq) and the rent of the house during the time she was living with him."
19191,"Testimony dated the 8th of Av, 1465 CE (1776 Seleucid), regarding Mansur b. Ibrahim (""known as the leprous (al-Abras)""?) and another party who had a terrible quarrel regarding the reading of Rahamim on the night of the upcoming Yom Kippur. All the numerous undersigned testify that Mansur has renounced his right to read them: Ovadyah b. Shemuel [...] known as Tajir; Aharon b. Moshe known as 'Ammani; Se'adyah b. Sedaqah Ghazzawi; Ovadyah b. Yehudah known as Amshati; Yeshu'ah b. [...] known as Sayrafi; Sedaq[ah?] b. Binyamin; Yeshu'ah b. Yehudah knonw as Fuhayd (?); and Yeshu'ah b. Moshe."
19194,Calligraphic get (bill of divorce) dated the 19th of Kislev 1661 CE (5422) from Damascus. Moshe b. Avraham known as Ibrahim repudiates Malkah known as Muluk bt. Eliyahu known as Khidr. Signed by Elazar b. Noah and Hayyim b. Eliyyahu.
19198,"Legal fragment from Fustat, involving the business dealings of Mūsā b. Abī l-Ḥayy among others, dated [Iyya]r 1089 CE (1400 Seleucid). The month could also be read as Adar, but the body of the document mentions something that happened in Nisan of the same year (482 Hijri). The reshut of the Nasi David b. Daniel is invoked in lines 4-7. Protagonists/testifiers named include: [Abu Ishaq?] Avraham ha-Levi b. Ṭoviya ha-Levi, Abu ʿImran Moshe b. Abī l-Ḥayy, Abu ʿAlī [Ye]fet ha-Kohen b. Salma (?) al-Dallāl. ASE."
19202,"Legal testimony from Fustat dated the 11th of Heshvan, 979 CE (1291 Seleucid) involving Sa'dan b. Sa'id from Tzubah (Aleppo) and Mevorakh b. Qiyam. Starting at this point, only the last few words of each line are preserved. Mansur b. Wahb and the brothers Salamah b. 'Amram and Mansur b. 'Amram are mentioned, as is the price of flax. Someone is appointed to be Sa'dan's guardian (? אפטרופא). The scribe is Efrayim b. Sadoq. There are numerous signatures. See also T-S 13J8.21, a legal document involving the same Aleppan Sa'dan b. Sa'id. ASE.
Description from PGPID 6242:
Awaiting description - see Goitein's index card."
19203,"Legal testimony from Fustat dated Shevat 1151 CE (1462 Seleucid) under the reshut of Shemuel ha-Nagid. A woman named 'Ama'im bt. Abu l-Faraj al-Shamma' Menahem ha-Levi b. Shemaryah ha-Levi, who is the widow of Abu Ya'qub Yusuf al-Bazzaz b. Munajja, certifies that she has received in full the 40 dinars of her delayed marriage gift (mu'akhkhar) from Abu 'Ali al-'Attar al-'Asqalani Yefet b. Tiqvah Bahir ha-Yeshivah. Berakhot b. Yefet and Natan ha-Kohen b. Shemaryah ha-Kohen have signed underneath. In a different hand there is then a procedural note that names those two witnesses and is signed by Ya'aqov b. Avraham, Efrayim b. Meshulam, and Mevorakh b. Natan. ASE.
Description from PGPID 6243:
Duplicate, see PGPID 19203."
19209,Formularies for legal documents. Recto of BL OR 5554A.45: Instructions for how to draw up a marriage-related legal document. Verso: Text from the sheva berakhot.
19211,"Legal document from Damietta, dated the [2]7th of Tishrei 1155 CE (1467 Seleucid), narrated in the voice of a woman (judging by ואנא קאעדה in the last line of recto). The writer tells how she returned from the synagogue and found the daughters of the sister of Abū l-Faḍl b. al-Ṣabbāgh in her house. One of them (her brother's widow?) claimed that the Dāʿī told her that the writer's brother had left three notebooks in her house (belonging to him?). The next day, the writer went to the wife of Abū l-Riḍā, who told her, ""my husband the Dāʿī is a good man, don't hide anything from."" So she handed over the key, and the Dāʿī and Abū ʿAlī [b.] Ḥassūn went up and ransacked her library and made off with 17 notebooks. BL OR 5554A.48 is either the continuation of this document or a different document related to the same case (mentions several of the same names and is also dated the 27th of Tishrei 1155 CE). ASE.
Description from PGPID 19212:
Legal fragment having to do with the same case as in BL OR 5554A.47, from Damietta [אי כפתור], dated the 27th of Tishrei 1155 CE (1467 Seleucid). ASE."
19213,"Legal. The will of Shela b. Yefet known as Ibn al-Sukkari. No date is preserved, but it mentions the Rayyis Mevorakh. It mentions an orphan daughter and 300 dinars. The Alexandrians Abū Hārūn and Abū Saʿīd Khulayf b. Qays (?) and 'Ezra b. Hillel will be the executors."
19226,"BL OR 5561A.4 seems to preserve only the imprint of BL OR 5561A.4a; the relationship between these two fragments and how they were folded is not completely clear from the digital images. BL OR 5561A.4a is the one with legible text, and it is a large, well-preserved legal document regarding property arrangements, dated Nisan 1664 CE [5424]. Note that ""Image 1"" and ""Image 2"" on FGP are not recto and verso but rather the upper part and the lower part of recto."
19229,"A legal document from Egypt, Iyyar 1860 CE (5620), possibly a partnership agreement. "
19231,"Legal document regarding the appointment of Moshe Albotano ""אלבוטאנו"" as gabbay of the Maghrebi community in Cairo that also mentions the scribe Yaʿaqov b. Zimra. The document is dated in the month of Iyyar 5260 AM, which is 1500CE. Information from the edition in Dotan Arad's dissertation (p. 352). MCD."
19232,"Recto: Partnership agreement, probably late, between four individuals, including Masʿūd and Yehuda. Much of the space is devoted to how they will behave toward one another, e.g., they will never go more than three days without making peace even if one partner behaves badly. Verso: Pen trials. ASE."
19233,Legal document dated Nisan 1651 CE (5411) involving Yiṣḥaq Castro and Ya'aqov al-Darqon. The scribe Shelomo b. Shemuel Somekh ha-Kohen has a remarkable signature. See Avraham David's edition on FGP for the content. ASE.
19235,"Rental contract. In Hebrew. Location: Rashīd. Dated: Thursday, 1 Nisan 5442 AM, which is 1682 CE. Lessor: A woman named Konfrada. Lessee: Shemuel [...]. The late Yiṣḥaq Arjīl (? ארגיל) is somehow involved as well. There is a 3-line addendum at the bottom. No witness signatures. Needs further examination."
19236,"Recto: Legal document(s). Location: Fustat/Cairo. Dated: 14 Sivan 5547 AM, which is 1787 CE. ʿIsqa agreement. The investor may be referred to only as ""maʿalat ha-khediv."" The active partner is Yosef b. ʿOvadya ha-Levi known as Khayyāṭ, who receives 50 Abū Ṭāqa (=baṭāqa) reals, 1 real pegged to 90 medins. The period of the partnership is 14 Sivan through the end of Elul. There is an addendum, unclear if or how it is related. It refers to brothers who had to pay a woman 1 real a week, but this obligation was nullified by the sale of the 'vessels,' and now the document called a תמוסוך is null and void; the woman says she doesn't know where it is, so it can't be torn up, so it is annulled in writing here instead. There are no witness signatures underneath this section."
19237,"Recto: Legal document involving Saadya ha-Kohen Me'ili (?) and Hayyim Luki (?) the Alexandrian, possibly dated Tammuz 1788 CE (תצמיח  i.e. [5]548). Needs further examination for the content. Verso: acconts. ASE. "
19239,"Late partnership agreement. Needs further examination for date, place, content. "
19244,"Partnership agreement (?) for one month dated Av 1815 CE (5575), Mitzrayim. Between Khalifah (?) b. Hayyim and Habibah (?) bt. Hayyim Yosef. "
19245,"Legal document. In Hebrew. Dated: 15 Sivan 5590 AM, which is 1820 CE. Morekhay Kialokos (כייאלוכוס) attests that he has received a deposit of 700 esedi gurush (""arayot"") from the widow of Shemuel Mella, which it seems he will use for investments and business, and a portion of the proceeds will go toward supporting the orphans of the deceased, Eliyyahu and Saʿd. Needs further examination. ASE. MCD."
19254,Recto: Legal fragment involving Halil (?) al-Shayzari ha-Bursi and Yishaq and various sums of money. Verso: possibly a Judaeo-Arabic draft of a sermon (?); words are written between the lines and squeezed into the margins.
19276,"Recto: Legal testimony dated Tammuz 1150 CE (1461 Seleucid), under the reshut of Shemuel ha-Nagid, several months after the events described therein (Adar 1461). Ibrahim/Avraham b. Sedaqah certifies that he received the seven dinars from Abu Ishaq Ibrahim al-Najib b. Yahya, known as Ibn al-'Anani, and his sister, and he therefore releases them from the claim he had over them. The seven dinars seem to have been owed on account of Avraham b. Sedaqah's marriage into the family, to a woman named Sitt al-Jami'. Interestingly the document ends with a Judaeo-Arabic formula (תאבת צחיח ומסתתם) in lieu of the customary Aramaic formula (שריר ובריר וקיים). Verso: a couple words of Arabic. ASE."
19278,"Recto: Legal document, probably 11th-century, attesting to the sale of half of a vineyard to a certain Sha'ul. The other half of the vineyard belongs to Yosef b. Yiṣḥaq. The vineyard abuts the public domain on three sides and the property of the Muslim Aḥmad b. מיריל (?) on the fourth side. The vineyard is located on the other side of the the river Tagus (תאגה) in the place known as ואדי לעפש (=wādī l-ʿafṣ?) in the village of אלבֿיגֿש. The bulk of the document is in Hebrew, but four lines from the bottom begins a list of all the potential defects in the vineyard in Judaeo-Arabic, which Sha'ul accepts. Goitein: ""Unlike orchards, vineyards, as fields—in one document, wine- growing areas are indeed designated as ""fields""—were legally the prop- erty of the government or its amirs. Therefore, a karrām, or ""wine-grower,"" is not to be regarded as a proprietor of vineyards, but as one who leased them from the government and took care of them. Of cases like this we read in our papers, for example, about an exquisite vineyard belonging to, or being under the jurisdiction of, the governor of Alexandria, which the writer of the letter had for years tried in vain to lease. For this purpose a letter of recommendation had been sent to the governor from influential people in the capital.52 In Spain, the legal situation was different. The Hebrew documents or formularies that have reached the Geniza from there show that private persons possessed vineyards and sold or leased them at liberty. Of particular interest is one deed of sale of half a vineyard, which, after having detailed all the legal aspects of the transaction in most elaborate Hebrew, enumerates in Arabic, ""in the terminology in vogue in Muslim courts,"" no fewer than fifteen defects and diseases that the vineyard might have and in which the buyer was prepared to acquiesce."" Med Soc I, p. 123. Verso: Piyyut. "
19280,"Legal document dated Nissan 1145 CE (1456 Seleucid), under the reshut of the Nagid Shemuel b. Ḥananya, certifying that Abū l-Faraj has paid the 20 dinars he owed to Abū l-Maʿānī. "
19285,See T-S 12.715.
19286,Fragment of a ketubba for [...] b. Yehuda ha-Zaqen and Sitt al-Gharb.
19287,Ketubba dated 15 September 1847 (5 Tishrei 5608) from Tangier for Ḥayyim Neḥemias b. Avraham b. Moshe b. Yiṣḥaq and Ordueña bt. Menaḥem b. Aharon. The currency used is אותייות. Scribed and witnessed by Masʿūd ha-Kohen. The groom also seems to have placed his name underneath. ASE.
19293,Fragment of a release in the hand of Ḥalfon b. Menashshe in the name of Sitt al-Dār and involving Abū l-Waḥsh Sibāʿ.
19294,"Recto: Fragment of a marriage document including a dowry list, Cairo (not Fustat), 1189–1288 CE. Verso: Piyyut."
19295,"Fragment of a long legal document, scribed and signed by Ḥalfon b. Menashshe, with numerous signatures. Needs further examination"
19296,"Fragment of a long legal document settling business accounts, involving a Mūsā who has gone missing, Berakhya, Sulaymān b. Yaʿaqov, Abū l-Surūr b. Natan, Maṣliaḥ, ʿAllūsh, and Yehoshua b. Natan. Verso: Three lines in Arabic script, apparently the draft of a beginning of a letter (a basmala followed by waṣal kitābak ayyuhā (?) l-ḥājib (?) aṭāl allāhu baqāk wa-adāma ʿizzaka wa-ta'ayyudaka). There are also a few jottings in Hebrew. ASE"
19298,"Legal testimony from Minyat Ashna, dated Tamuz 1461 (1150 CE), under the reshut of the Nagid Shemuel b. Ḥananya, in which Ṣedaqa b. Netanel ha-Ḥazzan, known as al-Raḥbī acknowledges a debt of 25 dinars to Shemuel ha-Sar b. Yehuda ha-Zaqen, known as Ibn Asad. He will pay 10 dinars over Elul and Tishrei, then 5 dinars each in Shevat, Adar and Nisan. ASE."
19299,"A 'covenant' of sorts (Ezra Flesicher dubbed it a כתב אמנה) of the congregation of the Palestinian synagogue in Fustat, drawn up in Adar 1522 (=1211 CE), which enumerates the venerable liturgical rites they inherited from their ancestors and which they refuse to allow anyone to change. The context is the controvery over the prayer reforms that Avraham Maimonides attempted to introduce. There is an extensive literature on this controversy, and this document sheds important light on the practices that the traditionalists wished to preserve. The handwriting is that of the cantor Yedutun ha-Levi, a fact first noted by Fleischer; see 'לסדרי התפילה בבית הכנסת של בני ארץ-ישראל בפוסטאט' in his collected articles, תפילות הקבע בישראל בהתהוותן ובהתגבשותן, vol. 1, p. 827 (p. 245 in the original article); thanks to Shulamit Elizur for this information. Two lines were added in a different hand, reiterating the main point that it is forbidden to change these traditions, signed by [Nissim] ha-Kohen b. Saadya. Verso contains a liturgical composition. ASE."
19302,"Fragment of a marriage document involving Efrayim ha-Levi and Sitt al-Ḥasan. Dating 11th-century, based on Goitein's assessment."
19307,Small fragment of a legal document (ketubba?) involving [...] bt. Peraḥya ha-Zaqen.
19309,"A fragment of a Palestinian deed (maʿase) settling a marital dispute, affirming that the wife will be receive room and board from her husband's estate after his death. Information from Friedman, Jewish Marriage in Palestine, p. 443, n. 44. "
19312,"Fragment of a legal document involving the execution of the will of a certain Avraham. Mentions Adoniya b. David, Shemuel ha-Levi b. Avraham, ʿAllūsh, and Avraham. "
19313,"Fragment of a late ketubba, with sums in muayyadis, including the stipulation that the husband will not take a second wife without the bride's consent."
19319,"Legal document from Fustat, Elul 5500 (1740 CE), involving the division of profits between the three partners Avraham Serrano, Moshe Meyuḥas, and Avraham Ṣadīq and a fourth merchant, Avraham Revaḥ. The four businessmen are in the גֿוהאגֿיליך trade and they supply the princes and nobles of Egypt. This may be çuhacılık, which seems to be a type of weaving, but somebody who knows Turkish ought to examine it. Verso is also filled with text, in at least different hands, apparently a halakhic discussion. It is not clear if it relates to recto. A sum in reales is named. ASE"
19321,"Legal declaration, missing its beginning, inolving several Bibles (maṣāḥif), the speaker's brother Abū Saʿīd, abū l-Barakāt al-Ḥazzan, and Abū l-Makārim al-Levi. The original document is signed by Avraham ha-Kohen b. Aharon and ʿOvadya b. ʿŪlla. The addendum is signed by Shemuel ha-Levi b. Seʿadya, Elʿazar b. Mikha'el, and Mevorakh b. Natan ha-Ḥaver (active 1150–81)."
19327,Fragment of a legal document in the hand of Ḥalfon b. Menashshe.
19367,"Legal document. Very damaged. Location: Probably Cairo; only ''אל"" is clearly legible of the location's name, but only three common locations begin with ""al"" (al-Qāhira, al-Maḥalla, and al-Mahdiyya), and the rest of the word is plausibly קאהרה. Dating: The date is lost, but Avraham ha-Rav ha-Gadol in line 3 has to be Avraham Maimonides, and Rabbenu Menaḥem is mentioned in line 12, a person known from other early 13th-century documents. (Menaḥem is introduced in line 7, where he is called Menaḥem ha-Rav ha-Gadol be-Yis[ra'el] Yeḥid ha-Dor, as in T-S 8J15.7.) Another person mentioned in this document: Yiṣḥaq ha-Sar ha-Nikhbad. Somebody attests that he received 25 dinars for something. Perhaps for a property sale, because a location is given in lines 11–12 (.... al-ākhar bi-darb qaḍīb). ASE"
19368,"Ketubba, fragmentary. Groom: Yosef Kohen b. Khalūf. Likely from North Africa. Resembles Bodl. MS heb. a 2/2 (from Barqa, 990 CE). (Information from Friedman, Jewish Marriage in Palestine, Vol. 1, pp. 165, 269, and 288.) On verso there are piyyutim."
19370,Ketubba fragments. Lower part. One of the witnesses is Shelomo b. Yosef. There is literary text on verso.
19372,"Ketubba fragment. Opening only. In the hand of Ḥalfon b. Menashshe. Location: Fustat. Dated: 1[4]31 Seleucid, which is 1119/20 CE. Groom: [...] b. Tiqva. Bride: Ḥasana bt. [...]. "
19373,"Legal document, bottom part only, plus qiyyum/validation. Location: Fustat. Dated: [14]38 Seleucid, which is 1126/27 CE. Witnesses: Avraham b. Shemaʿya ha-Ḥaver descendant of Shemaʿyahu Gaon; Ḥalfon b. Menashshe; Meshullam b. Menashshe ha-Ḥaver; Ḥalfon b. Ghālib; Natan b. Yefet. The qiyyum is signed by Yiṣḥaq b. Shemuel ha-Sefaradi; Zakkay b. Moshe; Menashshe ha-Kohen ha-Ḥaver b. [Yaʿīsh?]."
19375,Marriage contract (ketubba). Upper left corner. Location: Fustat. Bride: Sitt al-Ahl bt. [...] ha-Kohen Rosh ha-Qahal.
19376,Marriage contract (ketubba). Lower right corner. Signed by Shelomo Kohen b. Yehuda and Ḥalfon ha-Levi b. Shelomo.
19377,Legal document. Release. In Hebrew.
19378,"Legal document. Dated: 14[..] Seleucid. The day of the month was left blank, so this is presumably a draft. Ṣadaqa ha-Kohen b. David makes a declaration concerning a quarrel (wa-jarā baynanā mushājarāt) over various large sums of money including 500 dinars. There is also a Yosef involved."
19380,"Prenuptial agreement, probably."
19381,"Legal fragment in the hand of Ḥalfon b. Menashshe. Involves [...] b. Munajjā al-ʿAṭṭār and his young daughter. Involves giving something to his in-law Abū l-Faḍl Menashshe al-Raffā' (""the darner""). "
19383,"Marriage contract, possibly. Only a few words of the inscription at the top (mentioning rejoicing and the Nagid) and the first line of the document are preserved. Dated: 1595 Seleucid, which is 1283/84 CE."
19385,"Bill of divorce (get). Dated: Thursday, 2 Adar I 1437 Seleucid, which is 1126 CE. Location: Fustat. Husband: Avraham b. Shemarya. Wife: Esther bt. Namir. Signed by Ḥalfon b. Menashshe and Yiṣḥaq b. Shemuel ha-Sefaradi. The attestation on verso that she received the get is signed by Ḥalfon b. Menashshe and Yiṣḥaq ha-Melammed b. Ḥayyim Nafūsī."
19386,"Bill of divorce (get). On vellum. Location: al-Maḥalla al-Kubrā. Dated: Monday, 10 Iyyar 1454 Seleucid, which is 1143 CE. Husband: Abū Naṣr b. Dinar(??). Wife: Sutūt bt. Abū l-Ḥasan. Signed by Zakkay b. Moshe and Tamīm b. Yosef ha-Levi. The same two witnesses also sign the attestation on verso that she received the get. "
19388,"Marriage contract (ketubba). Location: Fustat. Dated: 14 Ḥeshvan 1849 Seleucid, which is 1537 CE. Groom: Shelomo b. Shemuel."
19389,"Legal testimony. Location: Fustat. Dated: 16 Sivan 1394 Seleucid, which is 1082 CE. Shaʿyā b. David b. [...] makes a declaration concerning Mevorakh ha-Parnas (Segulat ha-Parnasim) and Avraham b. Yaʿaqov and something that occurred the previous year."
19390,"Formularies for divorce-related documents. The one on recto is clearly based on a real document and a real case, but gives ""peloni"" for the month and for some of the names. Location: Fustat. Dated: 5514 AM, which is 1753/54 CE. The husband is Barukh b. Yosef Ḥayyūn. The wife and her family are from Alexandria. Sums of money are given in silver dīwānī muayyadis and gold maḥbūbs. Somehow involved is a pin (in Ladino: אלפיניטי=alfinete) embedded with a precious gem (שקבוע בו אבן טובה). Two witnesses are named in the document but their signatures do not appear at the bottom. See also Bodl. MS heb. d 66/101"
19391,"Formulary for a שטר מכירת חזקה. Late, probably belongs with Bodl. MS heb. d 66/100 and is therefore c.1750s. "
19394,"Legal testimony involving India traders. Fragment: only the left side is preserved. Location: Possibly Alexandria: it appears to be spelled מדינת אכסנדריה, but in the very next line there is someone named אלאסכנדראני with the letters in the correct (Arabic) order. Dated: [..]32 AM, likely 1171/72 CE, but conceivably 1061/62 or 1271/72 (this can likely be resolved with the help of the names). The case involves the city of Abyār, a debt, and two raṭls of (dyed?) silk and someone named David b. Yaʿaqov. There are two rows of circles in between the main document and the qiyyum/validation. At the bottom of the qiyyum are the names (but not signatures) of: Ḥalfon b. Yaʿaqov, Aharon ha-Ḥazzan, Avraham b. Elʿazar, Ḥalfon b. [...], and [...] ha-Ḥazzan b. Aharon ha-Ḥazzan. "
19395,Deathbed will of Natan a.k.a. Hiba al-Sīlqūnī (the red lead merchant). Fragment: only the upper right corner is preserved. In the hand of Ḥalfon b. Menashshe? Also mentioned in the document is Sayyid al-Kull b. Yeshuʿa ha-Zaqen. It seems to have been cut up and turned into a Haggada (see verso).
19397,"Legal document. Location: Fustat. Dated: 1541 Seleucid, which is 1229/30 CE, under the reshut of Avraham Maimonides. Al-Shaykh al-Muhadhdhab Abū l-Thanā' b. Netanel b. Berakhot known as Ibn ʿAmmār al-Sukkarī makes a declaration concerning al-Shaykh al-Thiqa Hiba b. Natan b. David. The continuation is lost. "
19398,"Legal document, fragment. Involves [...] b. Shelomo ha-Levi and Avraham. Signed: Seʿadya b. Yehuda."
19400,Legal doucment. Business agreement involving Aharon b. ʿEzra and Moshe Dammūhī and a sum of 55 peraḥim. Dating: Second half of the 16th century.
19402,"Legal document. The body is almost entirely missing. The phrase ""wa-hādhā rasm al-sheṭar/al-qiyyum"" appears above the two sections at the bottom respectively. The main document is signed by Yosef Kohen b. Binyamin and Yefet ha-M[elammed b. Yosef ha-Melammed]. The qiyyum is signed by Yeshuʿa ha-Melammed b. Avraham and Yiṣḥaq b. [...]. There are a few words on verso (...qinyan min...)"
19403,"Legal query addressed to Avraham Maimonides. Reuven b. Yaʿaqov married a widow. He sickened and died, when she was 6 months pregnant. He left behind household goods such as earthenware and copper pots (birām). His father Yaʿqūb demanded the household goods. Reuven's widow refused to hand them over, arguing that she had to pawn them to raise money to pay for syrups and chickens for Reuven in his illness and also to repay his debts. Yaʿqūb continues to demand the goods, and she continues to refuse. What should be done?"
19409,"Legal document. Dated: 1448 Seleucid, which is 1136/37 CE. Very faded. Signed by: Moshe b. Ṣadoq ha-Ṣadiq Av Bet Din b. Yoshiyyahu; Moshe ha-Ḥazzan b. Yehuda. "
19410,"Legal document. Bottom part only. Perhaps a marriage contract, as there is a note in between the document and the qiyyum making a statement about the value of the delayed dower measured according to 'the weight of the Bedouins' (? ṣanjat al-ʿarab). The main document is signed by [..]LM b. Yosef; Shemuel b. Yiṣḥaq; [...] b. Shelomo b. Manṣūr nin Qāṣir; [...]Sofer; Yehuda ha-Ḥazzan b. ʿEli ha-Ḥazzan b. Moshe ha-Ḥazzan; Suhayl b. Mevasser. The qiyyum mentions [..]l b. Aharon; Meshullam b. [...]; Shemarya b. Moshe; and [...] b. Efrayim."
19411,"Legal document of some sort. Only the bottom part is preserved, which includes praises for the Nagid Sar ha-Shalom (or at least a Nagid with that title). Signed: Natan b. Shelomo; Peraḥya b. Aharon ha-Kohen; Yefet b. Araḥ; Avraham b. Seʿadya."
19418,"Legal testimony. In Hebrew. Dating: Late, probably no earlier than 15th or 16th century. Unfinished and unsigned. Esther bt. Elʿazar b. Pinḥas, the wife of Yosef b. Moshe b. Asher makes a declaration concerning the business partnership between her father and her husband. "
19424,"Leaf from a court ledger. Probably belongs together with Bodl. MS heb. d 66/77 (and perhaps 66/78 as well). On recto, document (a) may be the end of a trousseau list. Document (b) is a record about a financial dispute between Faḍā'il and his mother-in-law. Among other matters, he accuses her of breaking a jar (zīr) that was worth 1 dinar by carrying it around from place to place. "
19425,Legal document. Bottom part only. Sitt al-Ḥasan releases another woman from all claims. Signed: Mordekhay ha-Kohen b. Moshe.
19426,Legal document. The case involves a house worth 75 dinars and an orphan boy who has yet to come of age. People named include Mevorakh b. Yisrael and Hārūn and Abū Naṣr Ghālib b. Moshe ha-Kohen. There are many witnesses (which should facilitate precise dating): Avraham b. David; Yehoshuaʿ b. Natan; Natan b. Sasson; [...] ha-Mumḥe b. Natan Av Bet Din; ʿAyyāsh b. Nissim; [...] ha-Levi b. Shela; and [...] ha-Mumḥe.
19431,"Bill of divorce. Location: Cairo. Dated: 15[..] Seleucid, which is 1188–1288 CE. Probably in the second half of this range, to judge by handwriting (which is likely known). Husband: al-Rayyis Yaḥyā [...] al-Levi. Bride: Sitt al-[...]. Signed: Pinḥas ha-Kohen; ʿOvadya b. Yehuda ha-Dayyan. On verso, apart from the note that the wife received the get in front of witnesses, there is a list of three men somehow related to the case: Abū l-Riḍā b. al-Nagid; [...]r b. al-Sukkarī; and Abū l-Majd b. al-ʿAwwād. This part is also signed by ʿOvadya b. Yehuda ha-Dayyan and one other person. "
19432,"Legal document. In Judaeo-Arabic. Reconciliation between al-Muʿallim Manṣūr al-Dujājī and his wife, in which Manṣūr submits to various conditions concerning his wife's property. Mentions the 'waraqa' that is 'against him' in the Muslim courts. The name Shemuel al-Amshāṭī appears in the margin. Signed: ʿOvadya b. Shemuel; Yehuda b. Moshe. "
19453,Legal document in Judaeo-Arabic signed by Eliyyahu b. Zecharia and Yaʿaqov b. ʿAmram. Quite faded.
19459,Legal document. Apparently unfinished. In the hand of Ḥalfon b. Menashshe. Dated 1145 CE (Elul 1456 Seleucid). Involves a certain Abū l-Ḥasan b. Mūsā.
19460,Marriage contract for Shelomo b. Yosef and Munā bt. ʿAmram. From somewhere in Egypt. Dated 1086/87 CE (1398 Seleucid).
19464,"Legal affidavit or court record. In Judaeo-Arabic. Dated: Middle third of Shevat 1434 Seleucid, which is 1123 CE. But this dating is not certain, because it is very faded. In which Yefet b. ʿEli praises and acknowledges the help of Moshe ha-Sar b. Tiqva(?) and ʿEli ha-Levi b. Netanel, who intervened on his behalf with the Nagid (=Moshe b. Mevorakh, if the dating is correct). The document is very faded, but it appears that the matter has to do with the Palestinian synagogue as well as 'the congregation of the Cairenes.'"
19475,"Book list in Ladino. On the last page of a literary midrashic work in Hebrew. ""These are the books I bought here in Patras (Greece), it is good to know(?)"" (אישטוש שון ליש לוברוש קי מירקי אקי אין פאטראש קון בייני אשאביר). Dating: Possibly ca. 1498 CE, if this belongs together with the next fragment. Entries include: Naḥmanides; Sefer ha-Agur; Ibn ʿEzra; Kad ha-Qemaḥ; Sefer Miṣvot ha-Qaṣar; commentary on the Moreh by אפ״ד; two books of liquṭim; a commentary on something (""the first book"" or perhaps ""the razon""?) of Avicenna and other matters; a commentary on the Higayon of Maimonides with other selections; the Intentions of the Philosophers (Kavanot ha-Pilosofim, the Hebrew translation of Maqāṣid al-Falāsifa) by ""Abū Ḥamid"" (=al-Ghazālī); an introduction to logic; the laws of Yom Kippur (or from Masekhet Yoma); Moshe Narboni's commentary on the Intentions of the Philosophers; Iggeret ha-Musar; Sefer ha-Malmad (of Jacob Anatoli); the book of Ibn Shuʿayb; Ḥovot ha-Levavot; and a few more. ASE"
19479,"Legal document. In the hand of Ḥalfon b. Menashshe. Location: Cairo. Dated: 23 Nisan 1434 Seleucid, which is 1123 CE. "
19486,"Deed of sale. Location: Ḥamida/Ḥamuda, Yemen. Dated: 24 Av במ״ד, which is likely 2044 Seleucid, which is 1733 CE. The parties include [..] and Saʿīd and Avraham the sons of Yūsuf. Currency: gurush. Signed: Menaḥem b. Ḥayyim; Seʿadya b. Avraham. There is a note on verso with more names. "
19492,"Kitāb al-Sheṭarot (the book of legal formularies) of Hayya Ga'on b. Sherira Ga'on. Per the Bodleian catalog, the copyist or owner is Yiṣḥaq b. Shemuel ha-Ḥaver. "
19523,Legal document in Arabic script. Only the bottom is preserved. On verso there is a prayer in Hebrew.
19534,"Legal document. Bottom part only. Underneath, at 180 degrees, there is a jotting of the beginning of a legal document that includes the date: 10 Nisan 1549 Seleucid, which is 1238 CE. On verso there is a Hebrew elegy for 'my son' Yosef ha-Kohen and his three brothers. "
19538,"Court record. Location: Fustat/Cairo. Dated: 5307 AM, which is 1546/47 CE. The case involves the payment of the ketubba for Esther, the widow of Moshe Castro, and a debt that the late Moshe was owed by the well-known merchant Avraham b. Shānjī, also dead. The story begins in Jerusalem when the widow demanded payment from Shemuel b. Avraham Ibn Shānjī that he repay the debt of his father (80 Venetian ducats). Later, in Fustat/Cairo, the case came before the judge David Ibn Abi Zimra. See A. David's edition on FGP for further information."
19539,"Legal document in Hebrew. Very faded. Dated, but only the number 4 or 40 is readily legible. The hand looks late and/or Sefaradi-influenced. Mentions a financial loss (ההפסד שהפסיד...). Signed: Yeshaʿya b. Ḥiyya; [...] b. ʿOvadya; Yosef Seruji; Shelomo al-Maghribī. "
19540,"Legal document in Hebrew. Very faded. A woman named ʿAzīza makes a declaration. ""My husband Yaʿaqov ha-Kohen"" is mentioned three lines from the bottom. On verso there is a faṣl or note in Judaeo-Arabic describing the contents of the legal document: ""iqrār of the wife of [.......]."""
19558,"Legal document. Bottom part only. Dated: 14[.]7 Seleucid, probably 1407 Seleucid, which is 1095/96 CE. Signed by Ghālib b. Ḥalfon in massive letters. "
19562,"Bill of divorce (get). Location: Fustat. Dated: Tuesday, 13 Shevat 1442 Seleucid, which is 1131 CE. Husband: Ḥalfon b. [...]."
19563,"Legal document, small fragment. Location: Fustat. Involves Sasson b. Efrayim."
19566,Order of payment. In dreadful handwriting. On verso there are jottings in both Hebrew and Arabic script.
